,name,long,lat,df_name,cat1,cat2,cat1_name,cat2_name
82,,9.11700439563,45.4738533081,distr,non alimentare,,settore_merceologico,
83,,9.19337086111,45.5039217127,distr,non alimentare,,settore_merceologico,
84,gbc componenti elettronic,9.21256095228,45.4821725043,distr,non alimentare,,settore_merceologico,
85,,9.1943810386,45.4677961559,distr,Non Alimentare,,settore_merceologico,
86,,9.19635054679,45.4688040761,distr,Non Alimentare,,settore_merceologico,
87,,9.20884235323,45.4779911433,distr,Non Alimentare,,settore_merceologico,
88,,9.20566381522,45.4427080894,distr,Alimentare|Non Alimentare,,settore_merceologico,
89,,9.23059791852,45.4892385725,distr,non alimentare,,settore_merceologico,
90,,,,distr,non alimentare,,settore_merceologico,
91,hi-fi,9.15071322932,45.466062148,distr,non alimentare,,settore_merceologico,
92,master special,9.11479754273,45.495837865,distr,non alimentare,,settore_merceologico,
93,,9.19219712546,45.4662559342,distr,Non Alimentare,,settore_merceologico,
94,,9.21679965883,45.4808151121,distr,non alimentare,,settore_merceologico,
95,carrefour,9.15434838175,45.4353149556,distr,alimentare|non alimentare,,settore_merceologico,
96,,9.22589265754,45.4879817674,distr,non alimentare,,settore_merceologico,
97,,9.1873273425,45.4561994528,distr,non alimentare,,settore_merceologico,
98,photodiscount,9.15025038639,45.4661081193,distr,non alimentare,,settore_merceologico,
99,,9.18668601385,45.4651638324,distr,,,settore_merceologico,
100,blockbuster,9.20780205545,45.4800058984,distr,alimentare|non alimentare,,settore_merceologico,
101,,9.19348446768,45.4604358046,distr,non alimentare,,settore_merceologico,
102,,9.19517185011,45.4683721174,distr,Non Alimentare,,settore_merceologico,
103,,9.1840035046,45.4606039212,distr,non alimentare,,settore_merceologico,
104,,9.19463777856,45.4688506632,distr,Non Alimentare,,settore_merceologico,
105,belmonte camiciaio italia,9.20508255678,45.4810604601,distr,non alimentare,,settore_merceologico,
106,,9.19641794443,45.4656447574,distr,Alimentare|Non Alimentare,,settore_merceologico,
107,,,,distr,Alimentare|Non Alimentare,,settore_merceologico,
108,celio,9.21049927382,45.479474972,distr,non alimentare,,settore_merceologico,
109,,9.1709211628,45.4771186365,distr,Non Alimentare,,settore_merceologico,
110,,9.18660189799,45.462246701,distr,non alimentare,,settore_merceologico,
111,,,,distr,Non Alimentare,,settore_merceologico,
112,caractere,9.19452001501,45.4648127621,distr,non alimentare,,settore_merceologico,
