,CODICE COMPLESSO,DENOMINAZIONE COMPLESSO,CODICE EDIFICIO,DENOMINAZIONE EDIFICIO,INDIRIZZO,CIVICO,COMUNE,CONDOMINIO,full_address,lat,lon
825,410396,VIZZOLO - GIOVANNI PAOLO I° 4-6,41039603,GIOVANNI PAOLO I° CIV. 4/10-13 (VIA),VIA GIOVANNI PAOLO I°,4/,VIZZOLO PREDABISSI,,VIA GIOVANNI PAOLO I° 4/ VIZZOLO PREDABISSI,45.3647458,9.3409987
826,410396,VIZZOLO - GIOVANNI PAOLO I° 4-6,41039604,GIOVANNI PAOLO I° CIV. 6/1-2 (VIA),VIA GIOVANNI PAOLO I°,6/,VIZZOLO PREDABISSI,,VIA GIOVANNI PAOLO I° 6/ VIZZOLO PREDABISSI,45.364612,9.3404459
827,410396,VIZZOLO - GIOVANNI PAOLO I° 4-6,41039605,GIOVANNI PAOLO I° CIV. 6/3-9 (VIA),VIA GIOVANNI PAOLO I°,6/,VIZZOLO PREDABISSI,,VIA GIOVANNI PAOLO I° 6/ VIZZOLO PREDABISSI,45.364612,9.3404459
828,410396,VIZZOLO - GIOVANNI PAOLO I° 4-6,41039606,GIOVANNI PAOLO I° CIV. 6/10-15 (VIA),VIA GIOVANNI PAOLO I°,6/,VIZZOLO PREDABISSI,,VIA GIOVANNI PAOLO I° 6/ VIZZOLO PREDABISSI,45.364612,9.3404459
829,410396,VIZZOLO - GIOVANNI PAOLO I° 4-6,41039607,GIOVANNI PAOLO I° CIV. 4/PAS (VIA),VIA GIOVANNI PAOLO I°,4/,VIZZOLO PREDABISSI,,VIA GIOVANNI PAOLO I° 4/ VIZZOLO PREDABISSI,45.3647458,9.3409987
830,410396,VIZZOLO - GIOVANNI PAOLO I° 4-6,41039608,GIOVANNI PAOLO I° CIV. 6/PAS (VIA),VIA GIOVANNI PAOLO I°,6/,VIZZOLO PREDABISSI,,VIA GIOVANNI PAOLO I° 6/ VIZZOLO PREDABISSI,45.364612,9.3404459
831,410397,VIZZOLO - SANTANTONIO ABATE 6-8,41039701,SANTANTONIO ABATE CIV. 6/1-8 (VIA),VIA SANTANTONIO ABATE,6/,VIZZOLO PREDABISSI,,VIA SANTANTONIO ABATE 6/ VIZZOLO PREDABISSI,,
832,410397,VIZZOLO - SANTANTONIO ABATE 6-8,41039702,SANTANTONIO ABATE CIV. 6/9-13 (VIA),VIA SANTANTONIO ABATE,6/,VIZZOLO PREDABISSI,,VIA SANTANTONIO ABATE 6/ VIZZOLO PREDABISSI,,
833,410397,VIZZOLO - SANTANTONIO ABATE 6-8,41039703,SANTANTONIO ABATE CIV. 6/14-16 (VIA),VIA SANTANTONIO ABATE,6/,VIZZOLO PREDABISSI,,VIA SANTANTONIO ABATE 6/ VIZZOLO PREDABISSI,,
834,410397,VIZZOLO - SANTANTONIO ABATE 6-8,41039704,SANTANTONIO ABATE CIV. 8/1-7 (VIA),VIA SANTANTONIO ABATE,8/,VIZZOLO PREDABISSI,,VIA SANTANTONIO ABATE 8/ VIZZOLO PREDABISSI,,
835,410397,VIZZOLO - SANTANTONIO ABATE 6-8,41039705,SANTANTONIO ABATE CIV. 8/8-12 (VIA),VIA SANTANTONIO ABATE,8/,VIZZOLO PREDABISSI,,VIA SANTANTONIO ABATE 8/ VIZZOLO PREDABISSI,,
836,410397,VIZZOLO - SANTANTONIO ABATE 6-8,41039706,SANTANTONIO ABATE CIV. 8/13-17 (VIA),VIA SANTANTONIO ABATE,8/,VIZZOLO PREDABISSI,,VIA SANTANTONIO ABATE 8/ VIZZOLO PREDABISSI,,
837,410397,VIZZOLO - SANTANTONIO ABATE 6-8,41039707,SANTANTONIO ABATE PAS CIV. 6/ (VIA),VIA SANTANTONIO ABATE,6/,VIZZOLO PREDABISSI,,VIA SANTANTONIO ABATE 6/ VIZZOLO PREDABISSI,,
838,410397,VIZZOLO - SANTANTONIO ABATE 6-8,41039708,SANTANTONIO ABATE PAS CIV. 8/ (VIA),VIA SANTANTONIO ABATE,8/,VIZZOLO PREDABISSI,,VIA SANTANTONIO ABATE 8/ VIZZOLO PREDABISSI,,
839,410398,VIZZOLO - SARMAZZANO 7-9,41039801,SARMAZZANO CIV. 7/1-7 (VIALE),VIALE SARMAZZANO,7/,VIZZOLO PREDABISSI,,VIALE SARMAZZANO 7/ VIZZOLO PREDABISSI,45.366705,9.3422234
840,410398,VIZZOLO - SARMAZZANO 7-9,41039802,SARMAZZANO CIV. 7/8-12 (VIALE),VIALE SARMAZZANO,7/,VIZZOLO PREDABISSI,,VIALE SARMAZZANO 7/ VIZZOLO PREDABISSI,45.366705,9.3422234
