,CODICE COMPLESSO,DENOMINAZIONE COMPLESSO,CODICE EDIFICIO,DENOMINAZIONE EDIFICIO,INDIRIZZO,CIVICO,COMUNE,CONDOMINIO,full_address,lat,lon
929,510176,LOMBARDIA,51017601,LOMBARDIA 65 1ED.(VIALE),VIALE LOMBARDIA,65,MILANO,,VIALE LOMBARDIA 65 MILANO,45.4868634,9.2233574
930,510176,LOMBARDIA,51017602,LOMBARDIA 65 2ED.(VIALE),VIALE LOMBARDIA,65,MILANO,,VIALE LOMBARDIA 65 MILANO,45.4868634,9.2233574
931,510176,LOMBARDIA,51017603,LOMBARDIA 65 3ED.(VIALE),VIALE LOMBARDIA,65,MILANO,,VIALE LOMBARDIA 65 MILANO,45.4868634,9.2233574
932,510176,LOMBARDIA,51017604,LOMBARDIA 65 4ED.(VIALE),VIALE LOMBARDIA,65,MILANO,,VIALE LOMBARDIA 65 MILANO,45.4868634,9.2233574
933,510176,LOMBARDIA,51017605,LOMBARDIA 65 5ED.(VIALE),VIALE LOMBARDIA,65,MILANO,,VIALE LOMBARDIA 65 MILANO,45.4868634,9.2233574
934,510176,LOMBARDIA,51017606,LOMBARDIA 65 6ED.(VIALE),VIALE LOMBARDIA,65,MILANO,,VIALE LOMBARDIA 65 MILANO,45.4868634,9.2233574
935,510176,LOMBARDIA,51017607,LOMBARDIA 65 7ED.(VIALE),VIALE LOMBARDIA,65,MILANO,,VIALE LOMBARDIA 65 MILANO,45.4868634,9.2233574
936,510176,LOMBARDIA,51017608,LOMBARDIA 65 8ED.(VIALE),VIALE LOMBARDIA,65,MILANO,,VIALE LOMBARDIA 65 MILANO,45.4868634,9.2233574
937,510176,LOMBARDIA,51017609,LOMBARDIA 65 9ED.(VIALE),VIALE LOMBARDIA,65,MILANO,,VIALE LOMBARDIA 65 MILANO,45.4868634,9.2233574
938,510176,LOMBARDIA,51017610,LOMBARDIA 65 10ED.(VIALE),VIALE LOMBARDIA,65,MILANO,,VIALE LOMBARDIA 65 MILANO,45.4868634,9.2233574
939,510176,LOMBARDIA,51017611,LOMBARDIA 65 11ED.(VIALE),VIALE LOMBARDIA,65,MILANO,,VIALE LOMBARDIA 65 MILANO,45.4868634,9.2233574
940,510176,LOMBARDIA,51017612,LOMBARDIA 65 12ED.(VIALE),VIALE LOMBARDIA,65,MILANO,,VIALE LOMBARDIA 65 MILANO,45.4868634,9.2233574
941,510176,LOMBARDIA,51017613,LOMBARDIA 65 13ED.(VIALE),VIALE LOMBARDIA,65,MILANO,,VIALE LOMBARDIA 65 MILANO,45.4868634,9.2233574
942,510177,MONTE CENERI,51017701,"MONTE CENERI, 71 (VIALE)",VIALE MONTE CENERI,71,MILANO,SI,VIALE MONTE CENERI 71 MILANO,45.4940605,9.157438
943,510178,MONZA 99/101,51017801,"MONZA, 99/101 (VIALE)",VIALE MONZA,99/101,MILANO,,VIALE MONZA 99/101 MILANO,45.504564,9.2221848
944,510231,MAZZO DI RHO,51023101,"BALZAROTTI, 31 (VIA)",VIA PALMIRO TOGLIATTI,31,RHO,SI,VIA PALMIRO TOGLIATTI 31 RHO,45.5297948,9.0715113
945,510236,LOMELLINA,51023601,"LOMELLINA, 38 (VIA)",VIA LOMELLINA,38,MILANO,SI,VIA LOMELLINA 38 MILANO,45.4673892,9.2301532
946,510237,DE ANDRE',51023701,DE ANDRE' 11 (VIA) - TORRE 1,VIA DE ANDRE' FABRIZIO,11,MILANO,,VIA DE ANDRE' FABRIZIO 11 MILANO,45.4226338026,9.17380935919
947,510237,DE ANDRE',51023702,DE ANDRE' 11 (VIA) - TORRE 2,VIA DE ANDRE' FABRIZIO,11,MILANO,,VIA DE ANDRE' FABRIZIO 11 MILANO,45.4226338026,9.17380935919
948,510237,DE ANDRE',51023703,DE ANDRE' 11 (VIA) - LINEA,VIA DE ANDRE' FABRIZIO,11,MILANO,,VIA DE ANDRE' FABRIZIO 11 MILANO,45.4226338026,9.17380935919
949,510237,DE ANDRE',51023704,DE ANDRE' 12 (VIA) - TORRE 3,VIA DE ANDRE' FABRIZIO,12,MILANO,,VIA DE ANDRE' FABRIZIO 12 MILANO,45.4231546139,9.17385576616
950,510237,DE ANDRE',51023705,DE ANDRE' 12 (VIA) - TORRE 4,VIA DE ANDRE' FABRIZIO,12,MILANO,,VIA DE ANDRE' FABRIZIO 12 MILANO,45.4231546139,9.17385576616
951,510380,NENNI,51038001,NENNI 8 (VIA),VIA NENNI PIETRO,8,MILANO,,VIA NENNI PIETRO 8 MILANO,45.5159801,9.2474338
952,510381,PESCARA I° (CIV.44),51038101,"PESCARA, 44 (VIA)",VIA PESCARA,44,MILANO,,VIA PESCARA 44 MILANO,45.4009225,9.1822431
953,510382,APPENNINI II° (CIV. 92-94-96-98),51038201,"APPENNINI, 92 (VIA)",VIA APPENNINI,92,MILANO,,VIA APPENNINI 92 MILANO,45.5048873,9.1032319
954,510382,APPENNINI II° (CIV. 92-94-96-98),51038202,"APPENNINI, 94 (VIA)",VIA APPENNINI,94,MILANO,,VIA APPENNINI 94 MILANO,45.5053033,9.1016266
955,510382,APPENNINI II° (CIV. 92-94-96-98),51038203,"APPENNINI, 96 (VIA)",VIA APPENNINI,96,MILANO,,VIA APPENNINI 96 MILANO,45.5056188,9.1001529
956,510382,APPENNINI II° (CIV. 92-94-96-98),51038204,"APPENNINI, 98 (VIA)",VIA APPENNINI,98,MILANO,,VIA APPENNINI 98 MILANO,45.505907,9.0984463
957,510382,APPENNINI II° (CIV. 92-94-96-98),51038205,GALLARATE (VIA),VIA GALLARATE,427,MILANO,,VIA GALLARATE 427 MILANO,45.5059486,9.1007919
958,510383,CADUTI DI MARCINELLE,51038301,"CADUTI DI MARCINELLE, 6 (VIA)",VIA CADUTI DI MARCINELLE,6,MILANO,,VIA CADUTI DI MARCINELLE 6 MILANO,45.4822317,9.252363
959,510386,FRATELLI BOZZI,51038601,FRATELLI BOZZI 23 (VIA),VIA F.LLI BOZZI,23,MILANO,,VIA F.LLI BOZZI 23 MILANO,,
960,510387,OVADA,51038701,"OVADA, 38 (VIA)",VIA OVADA,38,MILANO,,VIA OVADA 38 MILANO,45.43608,9.1629134
961,510387,OVADA,51038702,"OVADA, 34 (VIA)",VIA OVADA,34,MILANO,,VIA OVADA 34 MILANO,45.43608,9.1629134
962,510388,CIVITAVECCHIA,51038801,"CIVITAVECCHIA, 100 (VIA)",VIA CIVITAVECCHIA,100,MILANO,,VIA CIVITAVECCHIA 100 MILANO,45.5019882,9.2468552
963,510388,CIVITAVECCHIA,51038802,"CIVITAVECCHIA, 104 (VIA)",VIA CIVITAVECCHIA,104,MILANO,,VIA CIVITAVECCHIA 104 MILANO,45.5029356,9.2499004
964,510388,CIVITAVECCHIA,51038803,"CIVITAVECCHIA, 106 (VIA)",VIA CIVITAVECCHIA,106,MILANO,,VIA CIVITAVECCHIA 106 MILANO,45.5034081,9.2487349
965,510388,CIVITAVECCHIA,51038804,"CIVITAVECCHIA, 108 (VIA)",VIA CIVITAVECCHIA,108,MILANO,,VIA CIVITAVECCHIA 108 MILANO,45.5034081,9.2487349
966,510388,CIVITAVECCHIA,51038805,"CIVITAVECCHIA, 102 (VIA)",VIA CIVITAVECCHIA,102,MILANO,,VIA CIVITAVECCHIA 102 MILANO,45.5033335,9.2497269
967,510388,CIVITAVECCHIA,51038806,"CIVITAVECCHIA, 100-104 (AUTORIMESSA)",VIA CIVITAVECCHIA,"100,102,104",MILANO,,"VIA CIVITAVECCHIA 100,102,104 MILANO",,
968,510388,CIVITAVECCHIA,51038807,"CIVITAVECCHIA, 106-108 (AUTORIMESSA)",VIA CIVITAVECCHIA,"106,108",MILANO,,"VIA CIVITAVECCHIA 106,108 MILANO",45.5019882,9.2468552
969,510389,GONIN 30,51038901,GONIN FRANCESCO 30 (VIA),VIA GONIN FRANCESCO,30,MILANO,,VIA GONIN FRANCESCO 30 MILANO,45.4416551,9.1210602
970,510391,DE LEMENE,51039101,DE LEMENE 55 (VIA),VIA DE LEMENE FRANCESCO,55,MILANO,,VIA DE LEMENE FRANCESCO 55 MILANO,45.4936978876,9.13575239208
971,510394,SENIGALLIA,51039401,SENIGALLIA - CORPO A,VIA SENIGALLIA,60/A,MILANO,,VIA SENIGALLIA 60/A MILANO,45.5321426,9.1689704
972,510394,SENIGALLIA,51039402,SENIGALLIA - CORPO B/E,VIA SENIGALLIA,60/B,MILANO,,VIA SENIGALLIA 60/B MILANO,45.5321426,9.1689704
973,510394,SENIGALLIA,51039403,SENIGALLIA - CORPO C/D,VIA SENIGALLIA,60/C,MILANO,,VIA SENIGALLIA 60/C MILANO,45.5321426,9.1689704
974,510394,SENIGALLIA,51039404,SENIGALLIA - AUTORIMESSA,VIA SENIGALLIA,60,MILANO,,VIA SENIGALLIA 60 MILANO,45.5321426,9.1689704
975,510394,SENIGALLIA,51039405,SENIGALLIA - CORPO F,VIA SENIGALLIA,60/G,MILANO,,VIA SENIGALLIA 60/G MILANO,45.5321426,9.1689704
976,510394,SENIGALLIA,51039406,SENIGALLIA - CORPO P1,VIA SENIGALLIA,60,MILANO,,VIA SENIGALLIA 60 MILANO,45.5321426,9.1689704
977,510394,SENIGALLIA,51039407,SENIGALLIA - CORPO P2,VIA SENIGALLIA,60,MILANO,,VIA SENIGALLIA 60 MILANO,45.5321426,9.1689704
978,510394,SENIGALLIA,51039408,SENIGALLIA - CORPO P3,VIA SENIGALLIA,60,MILANO,,VIA SENIGALLIA 60 MILANO,45.5321426,9.1689704
979,510394,SENIGALLIA,51039410,POSTI AUTO SCOPERTI,VIA SENIGALLIA,60,MILANO,,VIA SENIGALLIA 60 MILANO,45.5321426,9.1689704
